,free_text,label_id,dataset
0,@linda bui lên mở clip cô minh hiếu nấu vàng đi cô minh hiếu lúc đó đang rửa vàng á,0,vihsd
1,"no no, chỉ có bắc kì thôi nhé, nam k kì",0,vihsd
2,"""hàng order hộp hộp còn hộp lê_thảo""",0,vlsp
3,hương him cùng cảnh ngộ phùng khắc hoàng linh,0,vihsd
4,"""lớp tiếng hàn còn nhận học_sinh không""",0,vlsp
5,"""thành tinh lâu rồi nha chin chin phương uyên""",0,vlsp
6,"""trân bùi sắp thành_công""",0,vlsp
7,được quả áo khá chất thầy ơi,0,vihsd
8,chi yeu xinh qua..em cung muốn làm đep qua..nhung em ở mai ngoại bắc cơ chi ạ,0,vihsd
9,o doi la vay luc nguoi ta ha minh van con thi  chuoi nguoi ta cang ngay cang manh bay  gio no tuc roi no quay lai no can cang nhieu hon xua   nghe cho da tai nhaoi nguoi that la  mat the dien cua nguoi vn  bo tay  ban thieu,1,vihsd
10,buồn... cười,0,vihsd
11,toàn trịnh đạo đức +0,0,vihsd
12,con me gia mat day vo van hoa,1,vihsd
13,"""miệng nam_mô sáng ăn cơm chùa tối đi_khách""",0,vlsp
14,"""ôi nồi""",0,vlsp
15,dạo này nhìn chú em đẹp troai hơn đó...,0,vihsd
16,linh vũ toi xin video,0,vihsd
17,anh ba láo nháo là tú xiên giờ,1,vihsd
18,"""tao nghe rồi_đây tại_sao tao lại nghe mày ca tao_bổng nhớ_thương cu lệ rơi tao thương hắn hơn mày""",0,vlsp
19,"anh lân, máu lạnh nhỉ, khg cười té ghế mất kkkk",0,vihsd
20,đừng buồn anh tôi :)),0,vihsd
21,"""nhớ đông triều vl""",0,vlsp
22,nay trần dần mặc áo khác hẳn mọi ngày.có lẽ chuyển bị tiếp đón corona nhập hồn đây..,0,vihsd
23,sống chậm thế:)),0,vihsd
24,hot quá thầy ơi,0,vihsd
25,pham my linh hahahaha tết làm 1 phát,0,vihsd
26,tưởng chết mẹ hết rồi,0,vihsd
27,"""nguyễn_đào shared live video phụng  ặ   ưỡ""",0,vlsp
28,đọc xuyên câu k suy nghĩ thử xem..rất ngộ nghĩnh,0,vihsd
29,diễm quỳnh gét burn real vãi l,1,vihsd
30,"""cứt ỉa qá""",0,vlsp
31,"""nó gần biết nói tiếng người rồi diệp dung dung dung""",0,vlsp
32,xem xong hâm mộ cô luôn,0,vihsd
33,té ghế. kkk,0,vihsd
34,"mình góp ý nhé. ý kiến của mình là như này, mình nói ra nếu có mất lòng anh em thì mình cũng chịu, tại vì mình cũng chỉ muốn đóng góp một chút ý kiến cho anh em biết là mình cũng là một người có ý kiến, mình là con người không thích nói dài dòng, chỉ đ",0,vihsd
35,"""chỉ có_thể nói là xuất_sắc em mời các xị iuuu oder ạhhh thư lê""",0,vlsp
36,gà rừng kí hiệu im lặng,0,vihsd
37,móa đang ăn bún mắm xem bài quyền tao cừi sặc,0,vihsd
38,"""lầy vl""",0,vlsp
39,"""tao trân_trọng nhắc lại đây không phải là quà sanh nhựt đây là thứ bịt miệng mày để mày khỏi lèo_nhèo mỗi khi tao vẽ idea cover from an artist đan hạ_na na""",1,vlsp
40,russian gamers,0,vihsd
41,chị nhưng thật đáng sợ,0,vihsd
42,may  trước  đay  ninh  no  chui  liên  oanh  ma  gio  lai  quay  ra  chui  no  ha  cho  may  sang  mặt  ra  chua,1,vihsd
43,lmht2020xthayba nha ae,0,vihsd
44,tính ta ông cũng tốt hơn khối người . về thôi,0,vihsd
45,giờ mới nghe ....trời đất ơi cái miệng nó dơ bẩn vô cùng ...bởi vậy giờ cả thế giới đều khinh bỉ ...trời ơi ...khẩu nghiệp vô cùng ..,1,vihsd
46,đây ms gi5,0,vihsd
47,cứ như thế này thì duyệt mẹ đi cho nhanh,0,vihsd
48,"""bài thơ mang âm_hưởng dânca nghệ rất hay và đùng với hoàn_cảnh của người nông_dân""",0,vlsp
49,đưa em về thanh xuân,0,vihsd
50,thằng trung có con *** to lắm,1,vihsd
51,sao lại nói bắc nọ bắc kia bậy rồi,0,vihsd
52,minh vũ,0,vihsd
53,"""chiếc boeing không kịp dừng lại cuối đường_băng lao xuống sông cùng và thành_viên phi hành_đoàn máy_bay boeing lao xuống sông toàn_bộ người sống_sót thần_kỳ chiếc boeing không kịp dừng lại cuối đường_băng lao xuống sông cùng và thành_viên phi_hành đoàn""",0,vlsp
54,"""hhh giả dúi vl""",0,vlsp
55,"""quang com thực_phẩm thể_hình bạn cố lên""",0,vlsp
56,tdf2,0,vihsd
57,"""vani lê chia_sẻ nhạc thánh_ca xin cho được nhiều chứng nhân thêm thợ gặt lúa chín vàng tươi ca_khúc nữ vương ơn gọi sáng_tác hồ_ngọc hoài trình_bày thanh hoài huyền_linh diễm sương hồng_nhung hòa_âm nguyễn_thanh thu âm mix nguyễn_hiền video vincente điểm ca_khúc của hội dòng tông_đồ cầu_nguyện cho ơn gọi hướng tới ngày lễ cầu_nguyện cho ơn gọi linh_mục tu_sĩ mời mọi người lắng_nghe và chia_sẻ nhé linkyoutube linkmp""",0,vlsp
58,anh phuong trinh có chú ca đây,0,vihsd
59,ánh sáng của đảng :)),0,vihsd
60,"""út hít thuận nhờ ace cà ná chia sẽ giúp nhìn tìm dùm chiếc xe vào_khoảng đến đi xe ra quốc_phòng để xe ngây ngã cầu_tàu đường đi thương diêm xe có khoá cổ chủ xe thấy bẻ_khoá chạy dô đường thương diêm nhưng đuổi theo thì ko kịp xe hệt như hình ko khác dì hết ace nào đi xe mới hay xe đẹp nên cẩn_thận đề_phòng kẻ_gian nó vào làng rồi cảm_ơn ace share""",0,vlsp
61,ten years! really :))),0,vihsd
62,"""ngầu vl""",0,vlsp
63,"""vương có bán nhiều mẫu gương led rất đẹp nhé các bạn""",0,vlsp
64,"""mong linh_hồn chú sớm phật""",0,vlsp
65,"chữa cháy của việt nam là dập lửa thì đúng hơn. vụ nào trên tivi cũng thấy btv thêm 1 câu "" nhưng do gió to, hiện trường nhiều vật liệu dễ cháy nên đám cháy lan mạnh, sau 6 -8 tiếng mới dập tắt ngọn lửa"". ngăn không cho nó cháy lan ra đã là thành công lắm r",0,vihsd
66,"""my nguyen hóng_hớt showbiz game đã khó rồi mà còn đặt mấy cái tên khó đỡ nữa chứ nguồn""",0,vlsp
67,@tiktok official hùa theo là chó vậy mày cũng hùa đó,1,vihsd
68,nguyễn nhân link cái mã tổ nhà mày à,0,vihsd
69,ae thấy hay đừng quên đăng ký kênh,0,vihsd
70,phim tên gì vậy @nguyên thị duyên,0,vihsd
71,ơ có nhây đâu. là do nhớ nghề mà,0,vihsd
72,vẫn còn quả nốt ruồi là ổn rồi,0,vihsd
73,"""minh thư_thế hả kệ""",0,vlsp
74,"""kimbap kimbap thường hộp kimbap chiên hộp nước mía ly nhận ship bây_giờ sđt""",0,vlsp
75,tot nhat la tong no vao tu cho sach se,0,vihsd
76,lương 7-8tr chẳng đủ ăn cơm đâu con ạ. ăn tôm hùm sâu răng đây,0,vihsd
77,"""có nụ cười toả sáng vđ tại sao bố có mà nó có vô_lí""",1,vlsp
78,"""tội vl""",0,vlsp
79,nhớ ngay xưa vụ gján đjệp mỹ dẫn đến sự sup đổ của ljên xô!,0,vihsd
80,có mỗi cái phòng 4m2 làm thế giới riêng tự tay sắp xếp mọi thứ cũng đéo được yên,0,vihsd
81,"học ở trường thầy, cô giáo dạy hay lắm yêu tổ quốc, yêu đồng bào yêu hcm mà không thấy dạy là phải yêu bản thân, gia đình ba, mẹ yêu chi những cái xa xôi chết mẹ còn nhỏ biết con mẹ gì cứ nhồi yêu nước, yêu hcm ? sao không yêu những thứ gần gũi với mình ?",1,vihsd
82,làm giáo án xóa kênh đi thầy,0,vihsd
83,"""hot_hit hồ ngọc_hà full set đi biển xinh lung_linh như hà_hồ luôn combo in bra áo_choàng quần luôn màu như hình size sm giá iu thương oder ngay hoặc ghé xem hàng trực_tiếp tại laryna store địa_chỉ đường số khu_đô_thị cityland phường quận gò_vấp tầng coffee kairos shopee_shopee com_larynastore tline bảo trân lê_phuong linh""",0,vlsp
84,"""nghe ức_chế vl""",0,vlsp
85,ờ,0,vihsd
86,"từ ngày chung lên thay nhanh , xong chung cho nhanh xập nguồn, thương anh quá, ngu đoé gì mà ngu thế đào tạo đệ tử cũng cần cái ,chí ít ra cũng phải chết thì cũng xin thế cho sư phụ chứ lỵ. cứ hoang mang mãi, đến vụ đồng tâm anh chung đường hoàng thế hoá ra chỉ là anh cahs. tin anh ấy nhá bà con hết cửa , thật đấy",1,vihsd
87,kéo khoá quần lên kìa anh,0,vihsd
88,hiền hừm =)))),0,vihsd
89,"""hanh phuc vl""",0,vlsp
90,cưng quá trời cưng á,0,vihsd
91,quocanh tr mu to lắm,0,vihsd
92,khung qua linh oi tôi sau ma khung nua,1,vihsd
93,"""nguyễn_đức khánh đông lĩnh kia trả_lời trc đi đã còn đây kèo dự_phòng mà hiha""",0,vlsp
94,báo chí gì mà nói sạo lộ liễu. nản,1,vihsd
95,"""là cái dell mà ồn ầm lên trần_sỹ tài xamf ám_ảnh vl""",1,vlsp
96,"""nói làm gì đến xiền nữa chị ei làm gì còn xiền nhữa hehe""",0,vlsp
97,"""nó đi chổ khác mở quán mới""",0,vlsp
98,minh thu pham chồng hư wá z,0,vihsd
99,"""ra_dáng đàn_ông con_trai nữa hả trời một lũ súc_vật đồng hường yên bái toàn_cảnh news mọi người cho hỏi xh có công_bằng luật_pháp đâu mà để côn_đồ lộng_hành như thế này đất nhà mình bằng thật tranh_chấp mà doanh_nghiệp bình mình một doanh_nghiệp thối_nát lợi_dụng gđ neo người mà hành_hung phụ_nữ bà_già có đẹp_mặt hơn trục lái_xe lái máy ức_hiếp phụ_nữ ông bà_già có đáng chúng_mày sẽ chết hết với luật_pháp mong đời lại công_bằng cho gđ và mọi người cùng cảnh_ngộ các ace bb xem xong chia_sẻ dùm cảm_ơn nguồn lê_hải tp lào cai""",0,vlsp
100,em tưởng giải thưởng là 10kg khô lá chanh vị gà chứ,0,vihsd
101,như,1,vihsd
102,"""có card vmin nè má uiiiiiiii tvt đợt này mà đi là phải mua cái này tt mỹ hạnhh jimin nụ cười mang tên jiminie good tour jimin speak yourself xinh lắm luôn nè chùi ui tvt speakyourself roselynjoy_g parkjimin  jimin  btsjimin """,0,vlsp
103,may mấy ông không đến tận chương trình ngta hò :)))))),0,vihsd
104,"""tuyệt_vời rất hay bà_con nhớ xem nha_tks www_tcdy us hoặc để xin việc_làm www_vnch com phan thi thao shared live video dong_ta hãy cùng nhau ủng_hộ tổng_thống đào_minh quân cpqgvnlt đệ tam_vnch trưng_cầu dân xoá_bỏ hình_ảnh ma_quái hcm""",0,vlsp
